subsystem,reaction
EX_nifedipine_e,EX_nifedipine_e
EX_npthl_e,EX_npthl_e
EX_nrpphr_e,EX_nrpphr_e
EX_oagd3_hs_e,EX_oagd3_hs_e
EX_oagt3_hs_e,EX_oagt3_hs_e
EX_ocdca_e,EX_ocdca_e
EX_ocdcea_e,EX_ocdcea_e
EX_octa_e,EX_octa_e
EX_onpthl_e,EX_onpthl_e
EX_oxa_e,EX_oxa_e
EX_paf_hs_e,EX_paf_hs_e
EX_pchol_hs_e,EX_pchol_hs_e
EX_perillyl_e,EX_perillyl_e
EX_pheacgln_e,EX_pheacgln_e
EX_phllqne_e,EX_phllqne_e
EX_phyt_e,EX_phyt_e
EX_prostgd2_e,EX_prostgd2_e
EX_prostge2_e,EX_prostge2_e
EX_prostgf2_e,EX_prostgf2_e
EX_ps_hs_e,EX_ps_hs_e
EX_retfa_e,EX_retfa_e
EX_retinol_e,EX_retinol_e
EX_Rtotal2_e,EX_Rtotal2_e
EX_Rtotal3_e,EX_Rtotal3_e
EX_s2l2n2m2masn_e,EX_s2l2n2m2masn_e
EX_sarcs_e,EX_sarcs_e
EX_spc_hs_e,EX_spc_hs_e
EX_sph1p_e,EX_sph1p_e
EX_strdnc_e,EX_strdnc_e
EX_tag_hs_e,EX_tag_hs_e
EX_taxol_e,EX_taxol_e
EX_tchola_e,EX_tchola_e
EX_tcynt_e,EX_tcynt_e
EX_tdchola_e,EX_tdchola_e
EX_tetpent3_e,EX_tetpent3_e
EX_tetpent6_e,EX_tetpent6_e
EX_thmmp_e,EX_thmmp_e
EX_thym_e,EX_thym_e
EX_triodthy_e,EX_triodthy_e
EX_triodthysuf_e,EX_triodthysuf_e
EX_tststeroneglc_e,EX_tststeroneglc_e
EX_tststerones_e,EX_tststerones_e
EX_ttdca_e,EX_ttdca_e
EX_tymsf_e,EX_tymsf_e
EX_Tyr_ggn_e,EX_Tyr_ggn_e
EX_udp_e,EX_udp_e
EX_vitd3_e,EX_vitd3_e
EX_whddca_e,EX_whddca_e
EX_whhdca_e,EX_whhdca_e
EX_whttdca_e,EX_whttdca_e
EX_xoltri25_e,EX_xoltri25_e
EX_xoltri27_e,EX_xoltri27_e
F1Atg,F1Atg
